63.4499,63.2226
63.4499,61.2888
63.4499,59.4344
63.4499,57.5449
63.4499,55.6255
63.4499,53.682
63.4499,51.7202
63.4499,49.7462
63.4499,47.7664
63.4499,45.7871
63.4499,43.8147
63.4499,41.8554
63.4499,39.9155
63.4499,38.0007
63.4499,36.1165
63.4499,34.2683
63.4499,32.4601
63.4499,30.7113
63.3577,29.0187
63.1761,27.3857
62.9206,25.8173
62.6002,24.3172
62.2238,22.8882
61.8,21.5321
61.3387,20.2509
60.848,19.0466
60.3352,17.9185
59.8072,16.8645
59.2701,15.882
58.7294,14.968
58.1897,14.1195
57.6551,13.333
57.1292,12.6052
56.6149,11.9326
56.3072,11.06
56.2841,10.2183
56.2611,9.29684
56.2611,8.29707
56.2611,7.22311
56.2611,6.08167
56.2611,4.88216
56.2611,3.6365
56.2611,2.35877
56.2611,1.06461
56.2611,-0.22953
56.2611,-1.50718
56.2611,-3.0593
56.2611,-4.0
